RUT,NOMBRE,CLASIFICACION
77525481-5,SEGURIDAD PRIVADA COUGAR SPA,OTRO MUNICIPAL
77525487-4,PRODENT ODONTOLOGIA Y SALUD SPA,OTRO MUNICIPAL
77525695-8,SALUD DENTAL AGK SPA,OTRO MUNICIPAL
77526246-K,VALENTINA RUIZ FUENTES VENTA DE ARTICULOS DE ASEO E.I.R.L.,OTRO MUNICIPAL
77526375-K,CENTRO MEDICO Y DE SALUD INTEGRAL RAICES LIMITADA,OTRO MUNICIPAL
77526548-5,KINESIOLOGÍA Y SALUD AUSTRAL SPA,OTRO MUNICIPAL
77526734-8,CAFETERIA KARU VERONICA DEL TRANSITO SOTO OLATE E.I.R.L.,OTRO MUNICIPAL
77526802-6,HIGIENE Y ASEO SALUD SPA,OTRO MUNICIPAL
77526823-9,FJ RASTREO SATELITAL Y SEGURIDAD AUTOMOTRIZ SPA,OTRO MUNICIPAL
77527012-8,CASA SALUD SPA,OTRO MUNICIPAL
77527085-3,SUREPP SEGURIDAD INDUSTRIAL YOSSELIN FABIOLA MORALES TOLEDO E.I.R.L.,OTRO MUNICIPAL
77527276-7,SEGURIDAD Y PREVENCIÓN CHILE SPA,OTRO MUNICIPAL
77527605-3,EMPRESA DE SEGURIDAD PRIVADA SQ SPA,OTRO MUNICIPAL
77527879-K,SERVICIOS DE SALUD VIDA SANA SPA,OTRO MUNICIPAL
77528098-0,ASEO INDUSTRIAL ANGELICA SUAREZ VIELMA E.I.R.L.,OTRO MUNICIPAL
77528244-4,CENTRO DE SALUD MENTAL AYUN SPA,OTRO MUNICIPAL
77528294-0,SOLUCIONES APLICADAS DE TECNOLOGÍA PARA LA SALUD SPA,OTRO MUNICIPAL
77528487-0,DE LA ROSA VILLEGAS SISTEMAS DE SEGURIDAD SPA,OTRO MUNICIPAL
77528595-8,SEGURIDAD Y CUIDADO INFANTIL SPA,OTRO MUNICIPAL
77528810-8,COMERCIALIZADORA PRODUCTOS DE SEGURIDAD LIMITADA,OTRO MUNICIPAL
77528853-1,SERVICIOS EDUCACIONALES VALESKA BRAVO SEQUEIRA E.I.R.L.,OTRO MUNICIPAL
77529032-3,SERVICIOS EDUCACIONALES DIVERSIFIK-T LIMITADA,OTRO MUNICIPAL
77529229-6,SOCIEDAD EDUCACIONAL VALLENILLA MOLINA SPA,OTRO MUNICIPAL
77529327-6,SERVICIOS DE SEGURIDAD Y TRANSPORTES CB MEDINA SPA,OTRO MUNICIPAL
77529372-1,"SAFS SERVICIOS GENERALES, ASEO INDUSTRIAL SPA",OTRO MUNICIPAL
77529385-3,SERVICIOS DE SALUD MENTAL SPA,OTRO MUNICIPAL
77529547-3,DEMARCACION Y SEGURIDAD VIAL BMJ SPA,OTRO MUNICIPAL
77529688-7,JONES SEGURIDAD SPA,OTRO MUNICIPAL
77529802-2,DISTRIBUIDORA ARTICULOS ASEO JAIME RAIMILLA PAIDANCA E.I.R.L.,OTRO MUNICIPAL
77529910-K,SISTEMAS Y TECNOLOGIAS DE INFORMACION AUDITORIA Y SEGURIDAD LIMITADA,OTRO MUNICIPAL
77530018-3,SERVICIOS DE SALUD DALILA ALEJANDRA AYALA RÍOS E.I.R.L.,OTRO MUNICIPAL
77530041-8,BODAI SALUD SPA,OTRO MUNICIPAL
77530112-0,SEGURIDAD PATRICIO ANDRÉS ESPINOZA PICCOLIS E.I.R.L.,OTRO MUNICIPAL
77530429-4,VIDA Y SALUD PRESTACIONES MEDICAS SPA,OTRO MUNICIPAL
77530809-5,"SERVICIOS DE SEGURIDAD Y RECURSOS HUMANOS, ARTURO RAMOS SUAREZ E.I.R.L.",OTRO MUNICIPAL
77530830-3,GESTION Y SERVICIOS EDUCACIONALES LIMITADA,OTRO MUNICIPAL
77530879-6,TOTALSALUD  SPA,OTRO MUNICIPAL
77530962-8,ALTO SEGURIDAD SPA,OTRO MUNICIPAL
77530997-0,SERVICIOS OPERATIVOS DE SEGURIDAD PRIVADA LIMITADA,OTRO MUNICIPAL
77531214-9,CCTV SEGURIDAD INFORMÁTICA  TALCA SPA,OTRO MUNICIPAL
77531303-K,SERVICIOS DE SEGURIDAD Y MANTENIMIENTO R & J SPA,OTRO MUNICIPAL
77531534-2,PASEO MAR Y TIERRA SPA,OTRO MUNICIPAL
77531655-1,CENTRO DE SALUD PEUMACEN SPA,OTRO MUNICIPAL
77531962-3,GOODLIFEXV NUTRICION Y SALUD SPA,OTRO MUNICIPAL
77532165-2,RAINE SEGURIDAD SPA,OTRO MUNICIPAL
77532319-1,SERVICIOS DE SEGURIDAD JONATHAN ALEJANDRO LÓPEZ IBÁÑEZ E.I.R.L.,OTRO MUNICIPAL
77532430-9,SOC EDUCACIONAL NAHUELBUTA LIMITADA,OTRO MUNICIPAL
77532495-3,AYM SERVICIOS DE ASEO SPA,OTRO MUNICIPAL
77532513-5,ETERNAL SECURE SEGURIDAD LIMITADA,OTRO MUNICIPAL
77532514-3,SERVICIO INTEGRAL DE ASEO MIRADENUEVO SPA,OTRO MUNICIPAL
77532605-0,SERVICIOS  DE  PROFESIONALES DE LA SALUD  ANDRES RENE PERPIÑAN REYES EMPRESA IND,OTRO MUNICIPAL
77532636-0,CONIAN NUTRICION Y SALUD SPA,OTRO MUNICIPAL
77532653-0,"COMERCIALIZADORA DE EXTINTORES, SEGURIDAD Y SERVICIOS CONTRA INCENDIOS SPA",OTRO MUNICIPAL
77532718-9,SOCIEDAD EDUCACIONAL TARTARUGA LIMITADA,OTRO MUNICIPAL
77532783-9,SOCIEDAD EDUCACIONAL ANCONA MONTESSORI SPA,OTRO MUNICIPAL
77532967-K,RIDOMI SALUD SPA,OTRO MUNICIPAL
77533172-0,SOCIEDAD EDUCACIONAL CASA 7 COLORES SPA,OTRO MUNICIPAL
77533254-9,SEGURIDAD PRIVADA INTEGRAL Y ASEO INDUSTRIAL NEW SECURITY SPA,OTRO MUNICIPAL
77533457-6,CENTRO INTEGRAL DE SALUD SPA,OTRO MUNICIPAL
77533629-3,MATEO & AS TRANSPORTE Y SEGURIDAD SPA,OTRO MUNICIPAL
77533711-7,EMPRESA DE SERVICIOS TRANSITORIOS 5M SPA,OTRO MUNICIPAL
77533920-9,SOC DE EDUCACION EXTRAESCOLAR CHILOE LIMITADA,OTRO MUNICIPAL
77534003-7,QUIMERA SEGURIDAD PRIVADA SPA,OTRO MUNICIPAL
77534025-8,DISTRIBUIDORA COMERCIAL DE ARTÍCULOS DE ASEO BLEN LIMITADA,OTRO MUNICIPAL
77534042-8,ALOJAMIENTOS VIRGINIA DEL TRANSITO SEPULVEDA  FUENTES E.I.R.L.,OTRO MUNICIPAL
77534049-5,SERVICIO DE SALUD ROSANGELA MELENDEZ DE LA TORRE E.I.R.L.,OTRO MUNICIPAL
77534188-2,AMISALUD SPA,OTRO MUNICIPAL
77534230-7,SOC DE SERVICIOS EDUCACIONALES CARDENAS JAY Y CAMPOS LIMITADA,OTRO MUNICIPAL
77534315-K,ENFSALUD LIMITADA,OTRO MUNICIPAL
77534453-9,GRUPO DAKA EMPRESA DE SERVICIOS TRANSITORIOS SPA,OTRO MUNICIPAL
77534515-2,SERVICIOS TECNOLÓGICOS SALUD 360 SPA,OTRO MUNICIPAL
77534637-K,ATENCION INTEGRAL DE SALUD MENTAL LIMITADA,OTRO MUNICIPAL
77534874-7,ARTICULOS DE ASEO Y PAQUETERÍA PATRICIA HERNANDEZ E.I.R.L.,OTRO MUNICIPAL
77535091-1,JONATHAN ALMONACID SEGURIDAD E.I.R.L.,OTRO MUNICIPAL
77535116-0,ARTICULOS DE ASEO CRISTIAN EUGENIO HERRERA JIMENEZ E.I.R.L.,OTRO MUNICIPAL
77535279-5,SERVICIOS PROFESIONALES Y PRODUCTOS EN ODONTOLOGIA Y SALUD GENERAL ZETA SPA,OTRO MUNICIPAL
77535353-8,SOCIEDAD PATAGONIA CHILE SEGURIDAD SPA,OTRO MUNICIPAL
77535365-1,SOCIEDAD PROFESIONAL MEDICA ESTETICA ODONTOLOGICA Y EDUCACIONAL FAGA LTDA,OTRO MUNICIPAL
77535475-5,DUO SALUD SPA,OTRO MUNICIPAL
77535495-K,GTH SALUD SPA,OTRO MUNICIPAL
77535933-1,CONDELL V&L SALUD SPA,OTRO MUNICIPAL
77535996-K,AT. SEGURIDAD CHILE & SERVICIOS INTEGRALES SPA,OTRO MUNICIPAL
77536026-7,PREVENCION & SEGURIDAD SPA,OTRO MUNICIPAL
77536083-6,EMPRESA CONSTRUTORA  Y AGENCIA DE ASEO WJP SPA,OTRO MUNICIPAL
77536214-6,LF BEBIDAS SALUDABLES SPA,OTRO MUNICIPAL
77536247-2,BIENESTAR Y SALUD INTEGRAL SPA,OTRO MUNICIPAL
77536386-K,SERVICIOS PROFESIONALES DE LA SALUD DIAZ Y SEGURA LIMITADA,OTRO MUNICIPAL
77536566-8,"JARDINES, OBRAS Y ASEO JANAMPA SPA",OTRO MUNICIPAL
77537125-0,INTEGRA SALUD SPA,OTRO MUNICIPAL
77537341-5,CRA - INVESTIGACIÓN Y DESARROLLO EN SALUD SPA,OTRO MUNICIPAL
77537443-8,EDUCACION THOMAS CONNELLY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,OTRO MUNICIPAL
77537567-1,POBLETE ANDRADE SERVICIOS INTEGRALES DE SALUD SPA,OTRO MUNICIPAL
77537624-4,CSA SERVICIOS DE MEDICINA Y SALUD VISUAL SPA,OTRO MUNICIPAL
77537646-5,SU SALUD SPA,OTRO MUNICIPAL
77537915-4,SERVICIOS INTEGRALES DE LIMPIEZA Y ASEO GEORGINA FLORES E.I.R.L.,OTRO MUNICIPAL
77537925-1,RED INTEGRAL DE SALUD MEDICA SPA,OTRO MUNICIPAL
77538182-5,INSTA.SALUD SPA,OTRO MUNICIPAL
77538499-9,ASESORIAS INTEGRALES DE SERVICIOS DE SEGURIDAD SPA,OTRO MUNICIPAL
77538530-8,EMPRESA DE SEGURIDAD SEGUR CHILE LIMITADA,OTRO MUNICIPAL
77538572-3,ASESORIA EN PREVENCIÓN DE RIESGOS Y SALUD OCUPACIONAL VLADIMIR REYES ESPINOSA E.,OTRO MUNICIPAL
77538582-0,CENTRO DE SALUD INTEGRAL CONSTANZA SANDOVAL E.I.R.L.,OTRO MUNICIPAL
77538773-4,SOCIEDAD SALUD Y BIENESTAR MSO SPA,OTRO MUNICIPAL
77538968-0,EME SEGURIDAD LIMITADA,OTRO MUNICIPAL
77539002-6,EME SEGURIDAD EST LIMITADA,OTRO MUNICIPAL
77539102-2,COMERCIALIZACION DE ARTICULOS DE ASEO IVETTE DEL CARMEN ASENJO CASTRO E.I.R.L.,OTRO MUNICIPAL
77539176-6,SERVICIOS DE SALUD RAMIREZ Y SALDIVIA LIMITADA,OTRO MUNICIPAL
77539182-0,CENTRO DE SALUD INTEGRAL AYÜN SPA,OTRO MUNICIPAL
77539229-0,CENTRO DE SALUD COLIBRI EVELYN REYES LUENGO E.I.R.L.,OTRO MUNICIPAL
77539298-3,RED SEGURIDAD PRIVADA CLINICA SPA,OTRO MUNICIPAL
77539369-6,COMERCIALIZADORA DE ARTÍCULOS DE ASEO NILTHON CESAR ASENCIO PORTAL E.I.R.L.,OTRO MUNICIPAL
77539387-4,INVERSALUD MM Y AFINES SPA,OTRO MUNICIPAL
77539502-8,EDZ PAÑALES Y ARTICULOS DE ASEO SPA,OTRO MUNICIPAL
77539539-7,LIMPIEZA DE ASEO BERNARDITA ANGEL E.I.R.L.,OTRO MUNICIPAL
77539672-5,SALUD INTEGRAL BIO3 SPA,OTRO MUNICIPAL
77539840-K,EDUCACIONAL HERNA PINOCHET LIMITADA,OTRO MUNICIPAL
77540082-K,CENTRO MÉDICO ÓPTIMA SALUD SPA,OTRO MUNICIPAL
77540191-5,DAVID OLIVARES LIRA SERVICIOS INTEGRALES DE ASEO Y MANTENCION E.I.R.L.,OTRO MUNICIPAL
77540218-0,INSTALACION DE EQUIPOS DE SEGURIDAD Y VIGILANCIA CLAUDIO SILVA E.I.R.L.,OTRO MUNICIPAL
77540223-7,SERVICIOS DE SALUD GRACE NATALIE CARRERA BURI E.I.R.L.,OTRO MUNICIPAL
77540241-5,SALUD DENTAL ALEXANDRA ANDREA CANGAS BRILL E.I.R.L.,OTRO MUNICIPAL
77540327-6,VISIÓN SEGURIDAD LIMITADA,OTRO MUNICIPAL
77540538-4,NELUMBO SPA CENTRO DE SALUD MENTAL SPA,OTRO MUNICIPAL
77540546-5,"SERVICIOS DE REHABILITACIÓN, EDUCACIONALES Y MÉDICOS LENA SPA",OTRO MUNICIPAL
77540613-5,PANACEA SALUD SPA,OTRO MUNICIPAL
77541151-1,CENTRO DE DEPORTE Y SALUD PUNTO LIBRE LIMITADA,OTRO MUNICIPAL
77541203-8,MANTENCION Y  ASEO INTEGRAL  ZUMIKO MERCEDES VASQUEZ ORTIZ    E.I.R.L.,OTRO MUNICIPAL
77541315-8,SEGURIDAD INTEGRAL FAEC SPA,OTRO MUNICIPAL
77541555-K,METROSALUD IVONNE RAMIREZ E.I.R.L.,OTRO MUNICIPAL
77541693-9,EMPRESA DE ASEO VRSALOVIC SPA,OTRO MUNICIPAL
77541735-8,SERVICIOS DE ASEO Y LIMPIEZA NEWEN SPA,OTRO MUNICIPAL
77541755-2,SERVICIOS DE SALUD INFANCIA SEGURA SPA,OTRO MUNICIPAL
77541844-3,CENTRO DE SALUD VIDA Y ESPERANZA SPA,OTRO MUNICIPAL
77542044-8,"CONSULTORIA, DESARROLLO DE SOFTWARE Y CIBERSEGURIDAD  SPA",OTRO MUNICIPAL
77542191-6,CENTRO CLÍNICO SALUD-PLUS PUENTE ALTO LIMITADA,OTRO MUNICIPAL
77542208-4,SERVICIOS DE SALUD FÍSICA Y MENTAL FUENTES LIMITADA,OTRO MUNICIPAL
77542224-6,EXPERTO SALUD MENTAL SPA,OTRO MUNICIPAL
77542286-6,PRODUCTOS SALUDABLES CHRISTIAN RODRIGO CERON HORMAZABAL  E.I.R.L.,OTRO MUNICIPAL
77542443-5,SERVICIOS MEDICOS METAFORASALUD SPA,OTRO MUNICIPAL
77542502-4,PGV LABORATORIO Y SALUD SPA,OTRO MUNICIPAL
77542717-5,SERVICIOS DE SALUD MIGHTY SPA,OTRO MUNICIPAL
77543200-4,SOC EDUCACIONAL PABLO NERUDA DE TALCA LTDA,OTRO MUNICIPAL
77543408-2,CENTRO DE SALUD MENTAL RECONOSERTE SPA,OTRO MUNICIPAL
77543470-8,CENTRO DE SALUD VISUAL R R LIMITADA,OTRO MUNICIPAL
77543481-3,GROLLMUS SALUD SPA,OTRO MUNICIPAL
77543547-K,SEGURIDAD INTEGRAL RICHARD ANTONIO RIQUELME OLATE E.I.R.L.,OTRO MUNICIPAL
77543610-7,SOC EDUCACIONAL Y ARTISTICA EL TRIGAL LIMITADA,OTRO MUNICIPAL
77543656-5,SERVICIOS DE ASEO Y LIMPIEZA COELLO SPA,OTRO MUNICIPAL
77543739-1,CENTRO DE SALUD DEPORTIVA INTEGRAL SPA,OTRO MUNICIPAL
77543893-2,SALUDMED ESTRADA SPA,OTRO MUNICIPAL
77544364-2,SERVICIOS DE SEGURIDAD PRIVADA PRESTADO POR EMPRESA HERNÁN VILLARROEL EMPRESA IN,OTRO MUNICIPAL
77544559-9,RUBE SALUD SPA,OTRO MUNICIPAL
77544593-9,"SERVICIOS Y ASESORÍAS RELACIONADOS A LA ACTIVIDAD FÍSICA, SALUD Y BIENESTAR ROBE",OTRO MUNICIPAL
77544629-3,"CS SERVICIOS DE SEGURIDAD, ASEO Y CAPACITACIÓN SPA",OTRO MUNICIPAL
77544634-K,SAYRI ASIRI SALUD & BELLEZA SPA,OTRO MUNICIPAL
77544690-0,SEGURIDAD INDUSTRIAL E INGENIERIA SPA,OTRO MUNICIPAL
77544728-1,GIO SALUD SPA,OTRO MUNICIPAL
77544800-8,SOC EDUCACIONAL DOMINGO FAUSTINO SARMIENTO LIMITADA,OTRO MUNICIPAL
77545305-2,ESTRATEGIA EN SEGURIDAD Y TELECOMUNICACIONES SPA,OTRO MUNICIPAL
77545369-9,NUTROSALUD SPA,OTRO MUNICIPAL
77545392-3,PAZ Y SALUD MENTAL SPA,OTRO MUNICIPAL
77545463-6,SIS SERVICIOS INTEGRALES DE SALUD SPA,OTRO MUNICIPAL
77545470-9,SOC EDUCACIONAL JARDIN INTERACTIVO LA GRANJA LIMITADA,OTRO MUNICIPAL
77545486-5,TERAPIAS INTEGRATIVAS DE SALUD ROXANA MILLAS E.I.R.L.,OTRO MUNICIPAL
77545662-0,VENTAS AL POR MENOR ART. ASEO  RAÚL  PÉREZ  E.I.R.L.,OTRO MUNICIPAL
77545895-K,SERVICIOS EDUCACIONALES Y CULTURALES  MASCULTURA SPA,OTRO MUNICIPAL
77546050-4,SOC EDUCACIONAL PERLA MC-KAY E HIJAS LIMITADA,OTRO MUNICIPAL
77546219-1,SEGURIDAD INTEGRAL SPA,OTRO MUNICIPAL
77546265-5,SEGURIDAD PRIVADA GRUPO KAISERLICH SPA,OTRO MUNICIPAL
77546335-K,SERVINMAB EMPRESA DE SERVICIOS TRANSITORIOS SPA,OTRO MUNICIPAL
77546798-3,"CONSULTAS, ATENCION Y SERVICIOS DE SALUD CARRO SPA",OTRO MUNICIPAL
77546863-7,NCSALUD SPA,OTRO MUNICIPAL
77547071-2,COMERCIALIZADORA OSCAR DEL TRANSITO OLAVARRIA CORTES E.I.R.L.,OTRO MUNICIPAL
77547083-6,CORPO SANNO CENTRO INTEGRAL DE SALUD Y ESTETITCA SPA,OTRO MUNICIPAL
77547127-1,ANATOMYSALUD VIÑA DEL MAR SPA,OTRO MUNICIPAL
77547404-1,CONSULTORIA EN SEGURIDAD INFORMATICA Y TECNOLOGIA DE LA INFORMACION TTPSEC SPA,OTRO MUNICIPAL
77547648-6,GESTA SALUD SPA,OTRO MUNICIPAL
77547937-K,M Y J SEGURIDAD SPA,OTRO MUNICIPAL
77547958-2,"SERVICIOS DE ADIESTRAMIENTO, GUARDERÍA, PELUQUERÍA, PASEO DE MASCOTAS.  MARIA IS",OTRO MUNICIPAL
77548002-5,SERVICIOS DE ASEO  Y LIMPIEZA SPA,OTRO MUNICIPAL
77548055-6,SOCIEDAD EDUCACIONAL KALPAVRISHA SPA,OTRO MUNICIPAL
77548078-5,SEGURIDAD ELECTRÓNICA LEIVA LIMITADA,OTRO MUNICIPAL
77548306-7,ASEO INDUSTRIAL SPA,OTRO MUNICIPAL
77548776-3,SERVICIO DE ATENCIÓN DE LA SALUD HUMANA FONOPAULINA PAULINA ANDREA ORELLANA VEGA,OTRO MUNICIPAL
77549175-2,LEON DIMATTEO SALUD SPA,OTRO MUNICIPAL
77549365-8,SALUD MENTAL SPA,OTRO MUNICIPAL
77549553-7,CENTRO DE NUTRICIÓN INTEGRAL NUTRASALUD SUR SPA,OTRO MUNICIPAL
77549556-1,SERVICIOS DE CIBERSEGURIDAD Y TRANSFORMACIÓN DIGITAL SPA,OTRO MUNICIPAL
77549647-9,PRODUCTOS DE ASEO Y LIMPIEZA RBALTRA SPA,OTRO MUNICIPAL
77549716-5,SERVICIOS DE KINESIOLOGÍA DERMATOFUNCIONAL Y SALUD  SPA,OTRO MUNICIPAL
77549838-2,FARMACIA LAJA SALUD LIMITADA,OTRO MUNICIPAL
77550241-K,PROVIDSALUD SPA,OTRO MUNICIPAL
77550348-3,"G&E SALUD, ESTETICA INTEGRATIVA, ANTIAGING Y BIORREGULACION SPA",OTRO MUNICIPAL
77550356-4,DMD QUALITY GROUP EMPRESA DE SERVICIOS TRANSITORIOS LIMITADA,OTRO MUNICIPAL
77550729-2,CVM SOLUCIONES EN SEGURIDAD SPA,OTRO MUNICIPAL
77550827-2,BONITA Y NATURAL CENTRO ESTETICO SALUD Y BIENESTAR  SPA,OTRO MUNICIPAL
77550860-4,SOC DE SALUD MENTAL INFANTOJUVENIL SOSAM LIMITADA,OTRO MUNICIPAL
77551122-2,BERKER SEGURIDAD SPA,OTRO MUNICIPAL
77551376-4,PRESTACIONES DE SALUD C & H LIMITADA,OTRO MUNICIPAL
77551475-2,SERVICIOS INTEGRALES Y SEGURIDAD SCHILINK SPA,OTRO MUNICIPAL
77551622-4,"VENTA DE ALIMENTOS, ACCESORIOS Y ÚTILES DE ASEO PARA ANIMALES, ANGELA ELIZABETH",OTRO MUNICIPAL
77551649-6,DENISSE YAZMÍN MORALES CORDOVA ASESORIAS EDUCACIONALES EMPRESA INDIVIDUAL DE RES,OTRO MUNICIPAL
77551797-2,CLIC SALUD SPA,OTRO MUNICIPAL
77551946-0,"CORPORACIÓN Y CONSULTORA DE SERVICIOS EDUCACIONALES, INVERSIONES COMERCIALES Y S",OTRO MUNICIPAL
77552117-1,SERVICIOS PROFESIONALES DE SALUD SPA,OTRO MUNICIPAL
77552139-2,SALUD NATURAL INTEGRATIVA SPA,OTRO MUNICIPAL
77552226-7,SEGURIDAD Y TECNOLOGIA CHILE SPA,OTRO MUNICIPAL
77552234-8,FRIENDS ESTÉTICA Y SALUD LIMITADA,OTRO MUNICIPAL
77552250-K,SOC EDUCACIONAL APORE LIMITADA,OTRO MUNICIPAL
77552275-5,LABORATORIO AGUAMARINA SALUD LIMITADA,OTRO MUNICIPAL
77552727-7,INGENIERIA Y SERVICIOS DE SEGURIDAD SPA,OTRO MUNICIPAL
77552848-6,ZULETA MUÑOZ SERVICIOS EN SALUD LIMITADA,OTRO MUNICIPAL
77552875-3,SERVICIOS DE LIMPIEZA Y ASEO HDG SPA,OTRO MUNICIPAL
77552881-8,"SERVICIO DE SEGURIDAD, TELECOMUNICACIONES Y OTROS SPA",OTRO MUNICIPAL
77553205-K,MOVESALUD Y ESTETICA INTEGRAL SPA,OTRO MUNICIPAL
77553344-7,ASESORÍAS Y SERVICIOS DE SALUD Y EDUCACIÓN LIMITADA,OTRO MUNICIPAL
77553364-1,"SALUD DENTAL Y REHABILITACIÓN, RIQUELME VERGARA LIMITADA",OTRO MUNICIPAL
77553396-K,SALUD Y ESTÉTICA ESSOL SPA,OTRO MUNICIPAL
77553519-9,MM SEGURIDAD Y SERVICIOS LIMITADA,OTRO MUNICIPAL
77553588-1,EDUARDO MEDINA VIDAL SEGURIDAD  E.I.R.L.,OTRO MUNICIPAL
77553598-9,DISTRIBUIDORA ALMA SALUD SPA,OTRO MUNICIPAL
77553606-3,SERVIASEO HANDYMAN IN ACTION SPA,OTRO MUNICIPAL
77553790-6,MYRE EDUCACION LIMITADA,OTRO MUNICIPAL
77553933-K,TELESEGURIDAD BAEZA LIMITADA,OTRO MUNICIPAL
77553942-9,SALUD N-WEN SPA,OTRO MUNICIPAL
77553959-3,CAFETERÍA Y SERVICIOS DE COLACIÓN Y ASEO MARIA ANGELICA BELTRAN BELMAR E.I.R.L.,OTRO MUNICIPAL
77554041-9,"DISTRIBUIDORA DE ABARROTES, ÚTILES DE ASEO E HIGIENE PERSONAL, VENTA DE VESTUARI",OTRO MUNICIPAL
77554101-6,NSEGURIDAD SPA,OTRO MUNICIPAL
77554182-2,SOCIEDAD EDUCACIONAL STUDYGRAM SPA,OTRO MUNICIPAL
77554192-K,BANDI SEGURIDAD SPA,OTRO MUNICIPAL
77554270-5,SOC EDUCACIONAL MIS PRIMEROS PASOS LIMITADA,OTRO MUNICIPAL
77554310-8,SOC MEDICA ACTIVASALUD LIMITADA,OTRO MUNICIPAL
77554414-7,E & E SEGURIDAD INDUSTRIAL SPA,OTRO MUNICIPAL
77554800-2,SOC EDUCACIONAL Y AGRICOLA LOS ROBLES LIMITADA,OTRO MUNICIPAL
77554913-0,SEGURIDAD R7 SPA,OTRO MUNICIPAL
77555266-2,PEREIRA SEGURIDAD SPA,OTRO MUNICIPAL
77555448-7,"ACADEMIA DE ARTE, MÚSICA, SALUD Y DEPORTES DANIELA VAN CAPEL NASER E.I.R.L.",OTRO MUNICIPAL
77555826-1,EL RINCON DEL ASEO SPA,OTRO MUNICIPAL
77555948-9,SERVICIOS DE SEGURIDAD Y CAPACITACION  LUIS ALEJANDRO AGUIRRE IBAÑEZ E.I.R.L.,OTRO MUNICIPAL
77556090-8,SOC DE FABRICACION COMERCIALIZACION Y SERVICIOS DE SEGURIDAD LTDA,OTRO MUNICIPAL
77556751-1,MALLAS DE SEGURIDAD JYM SPA,OTRO MUNICIPAL
77556779-1,SOCIEDAD MÉDICA MÁS SALUD SAN CARLOS LIMITADA,OTRO MUNICIPAL
77556995-6,PRESTADORA DE SERVICIOS DE SALUD Y CUIDADO HEALTH WELLNESS LIMITADA,OTRO MUNICIPAL
77557029-6,SERVICIOS INTEGRALES DE ASEO INDUSTRIAL Y OBRAS CIVILES JORGE ORTIZ VEGA E.I.R.L,OTRO MUNICIPAL
77557057-1,SERVICIOS DE PERSONAL Y SEGURIDAD LINGUE SPA,OTRO MUNICIPAL
77557174-8,CENTRO DE SALUD INTEGRAL QUIROGO SPA,OTRO MUNICIPAL
77557262-0,SERVICIOS DE ASEO INTEGRAL LIMITADA,OTRO MUNICIPAL
77557372-4,OTEC EMPLEASALUD SPA,OTRO MUNICIPAL
77557412-7,C.B. CORP SALUD. SPA,OTRO MUNICIPAL
77557471-2,SERVICIOS DE SALUD RAUL RIVERA MONTECINOS E.I.R.L.,OTRO MUNICIPAL
77557505-0,"CENTRO DE SALUD MENTAL, TELE SALUD MENTAL Y SERVICIOS PROFESIONALES SANTIAGO SPA",OTRO MUNICIPAL
77557517-4,RODRIGO ALIRO BARRERA ZAVALA SERVICIO DE ASEO A DOMICILIO E.I.R.L.,OTRO MUNICIPAL
77557576-K,P.P.I. SEGURIDAD SPA,OTRO MUNICIPAL
77557688-K,RAYO SERVICIO DE ASEO Y ORNATO SPA,OTRO MUNICIPAL
77557783-5,ECUASALUD LIMITADA,OTRO MUNICIPAL
77557919-6,SERVICIOS DE ASEO Y LIMPIEZA PROLIMPIA VILLARRICA SPA,OTRO MUNICIPAL
77558058-5,CENTRO EDUCACIONAL HUERTA GONZALEZ SPA,OTRO MUNICIPAL
77558071-2,BELLA ESTETICA Y SALUD INTEGRAL SPA,OTRO MUNICIPAL
77558570-6,SOC EDUCACIONAL INSTITUTO PSICOPEDAGOGICO LIMITADA,OTRO MUNICIPAL
77558713-K,BAZAR DEL ASEO SPA,OTRO MUNICIPAL
77559011-4,SOPORTE INFORMÁTICO Y SEGURIDAD EN TELEVIGILANCIA SPA,OTRO MUNICIPAL
77559052-1,SALUD INFANTIL DANIELA FERNANDA VERGARA NUÑEZ E.I.R.L.,OTRO MUNICIPAL
77559271-0,ESTETICA Y SALUD MJ SPA,OTRO MUNICIPAL
77559288-5,"ESTETICA, SALUD Y KINESIOLOGIA SPA",OTRO MUNICIPAL
77559435-7,SERVICIOS INTEGRALES DE SALUD MARIA ELISA OCAMPO E.I.R.L.,OTRO MUNICIPAL
77559964-2,CENTRO DE CAPACITACION VIDA Y SALUD SPA,OTRO MUNICIPAL
77560001-2,LA HUERTA SALUDABLE SPA,OTRO MUNICIPAL
77560175-2,ASESORIAS INTEGRALES EN SALUD DIEGO GÓMEZ POBLETE E.I.R.L.,OTRO MUNICIPAL
77560297-K,EMPORIO MAS SALUD SPA,OTRO MUNICIPAL
77560687-8,POR UNA MEJOR SALUD SPA,OTRO MUNICIPAL
77560729-7,COMERCIALIZADORA E INSTALACIONES  DE EQUIPOS DE SEGURIDAD Y AIRE ACONDICIONADO,OTRO MUNICIPAL
77560752-1,GRUPO PRIVADO DE SEGURIDAD LIMITADA,OTRO MUNICIPAL
77560867-6,SISTEMAS DE SEGURIDAD ALEX FABIAN PINO LEAL E.I.R.L.,OTRO MUNICIPAL
77560953-2,SOCIEDAD MEDICA E INVERSIONES BIENESTAR SALUD LIMITADA,OTRO MUNICIPAL
